x,y,z,ax,ay,az,aw,s,ss
1044.32,1158.95,0.0,0.0,0.0,0.20053164673825155,0.9796872249123416,139.56725298618167,1.3261975720080503
1045.13,1159.29,0.0,0.0,0.0,0.20101124311731933,0.9795889342680582,140.4457175557576,0.8784645695759301
1045.95,1159.64,0.0,0.0,0.0,0.20131385131813348,0.9795267904796991,141.33728920178498,0.8915716460273909
1046.76,1159.99,0.0,0.0,0.0,0.20229164019954446,0.9793253250607675,142.21967233852314,0.8823831367381451
1047.57,1160.34,0.0,0.0,0.0,0.20319147222823417,0.9791390226181994,143.1020554752613,0.8823831367381451
1047.97,1160.52,0.0,0.0,0.0,0.20340679124439284,0.9790943148010104,143.54068971925062,0.4386342439893352
1049.59,1161.22,0.0,0.0,0.0,0.20470789432877556,0.9788231086358141,145.305455992727,1.7647662734763803
1050.4,1161.58,0.0,0.0,0.0,0.20502136949522795,0.9787574970595634,146.19185319488875,0.8863972021617667
1050.81,1161.75,0.0,0.0,0.0,0.2052383127116977,0.9787120286352137,146.6357000153121,0.4438468204233364
1051.62,1162.11,0.0,0.0,0.0,0.20570035107466245,0.9786150241886544,147.52209721747366,0.8863972021615589
1052.83,1162.64,0.0,0.0,0.0,0.20650816746973402,0.9784448767142134,148.84308169883607,1.3209844813624043
1053.64,1163.0,0.0,0.0,0.0,0.20752328881498347,0.9782300775376992,149.72947890099783,0.8863972021617667
1054.45,1163.36,0.0,0.0,0.0,0.20768121445936838,0.9781965616176954,150.6158761031594,0.8863972021615589
1054.85,1163.54,0.0,0.0,0.0,0.20796205263375267,0.9781368946442804,151.05451034714852,0.43863424398912787
1056.47,1164.26,0.0,0.0,0.0,0.20867730157723874,0.9779845519262776,152.82730475147193,1.7727944043234178
1057.27,1164.62,0.0,0.0,0.0,0.20948203656500783,0.9778124955003269,153.7045732394503,0.8772684879783699
1057.67,1164.8,0.0,0.0,0.0,0.20911936867182607,0.9778901214585906,154.14320748343962,0.4386342439893352
1058.48,1165.16,0.0,0.0,0.0,0.20821043929049207,0.9780840520990312,155.02960468560127,0.8863972021616513
1059.69,1165.7,0.0,0.0,0.0,0.207186931805276,0.978301372425244,156.35463298718582,1.3250283015845543
1060.5,1166.06,0.0,0.0,0.0,0.2062579814175787,0.9784976469575927,157.24103018934738,0.8863972021615589
1061.31,1166.41,0.0,0.0,0.0,0.20498720427388176,0.9787646530622046,158.12341332608563,0.8823831367382352
1061.71,1166.59,0.0,0.0,0.0,0.20455328441449488,0.978855430508123,158.56204757007487,0.43863424398924195
1063.33,1167.29,0.0,0.0,0.0,0.20208396237261786,0.9793682005005995,160.32681384355124,1.7647662734763803
1064.14,1167.63,0.0,0.0,0.0,0.20063594805094542,0.9796658697483027,161.20527841312725,0.8784645695760182
1064.54,1167.81,0.0,0.0,0.0,0.19958684669738988,0.9798801409485717,161.6439126571163,0.4386342439890346
